[1509886888.165051],log level:0,thread name:light ,light:is alive
[1509886888.171595],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.171982],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.173275],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.174438],log level:0,thread name:temp ,temp:is alive
[1509886888.175908],log level:0,thread name:decision ,decision:is alive
[1509886888.176068],log level:0,thread name:log ,log:is alive
[1509886888.179912],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.180513],log level:0,thread name:light ,light:is alive
[1509886888.194770],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.195348],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.196767],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.197001],log level:0,thread name:temp ,temp:is alive
[1509886888.198604],log level:0,thread name:decision ,decision:is alive
[1509886888.200013],log level:0,thread name:log ,log:is alive
[1509886888.207263],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.207697],log level:0,thread name:light ,light:is alive
[1509886888.210961],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.211879],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.212697],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.212937],log level:0,thread name:temp ,temp:is alive
[1509886888.217725],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.219415],log level:0,thread name:decision ,decision:is alive
[1509886888.220063],log level:0,thread name:log ,log:is alive
[1509886888.220590],log level:0,thread name:light ,light:is alive
[1509886888.224369],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.225158],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.229455],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.229713],log level:0,thread name:temp ,temp:is alive
[1509886888.230094],log level:0,thread name:decision ,decision:is alive
[1509886888.230817],log level:0,thread name:log ,log:is alive
[1509886888.234338],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.235866],log level:0,thread name:light ,light:is alive
[1509886888.243691],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.244857],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.246131],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.246700],log level:0,thread name:temp ,temp:is alive
[1509886888.247978],log level:0,thread name:decision ,decision:is alive
[1509886888.248173],log level:0,thread name:log ,log:is alive
[1509886888.252559],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.253646],log level:0,thread name:light ,light:is alive
